ETL_CNTRL_PROJECT,ETL_CNTRL_SOURCE,SRC_SYSTEM,TGT_SYSTEM,SRC_SCHEMA,TGT_SCHEMA,SRC_TABLENAME,TGT_TABLENAME,SRC_NATURAL_KEY,TGT_NATURAL_KEY,SRC_TABLE_TYPE,TGT_TABLE_TYPE,CALC_CHECK_SUM_FORMULA,PRV_CMPLTD_ETL_BATCH_ID,TABLE_PROCESS_FLG,TABLE_PROCESS_GRP,AUD_CREATE_USER,AUD_CREATE_DTTS,AUD_LAST_UPDT_DTTS,AUD_LAST_UPDT_USER,LOAD_TYPE,CDC_IDENTIFIER_FIELD,PARTITION_CLAUSE_REQD,PARTITION_ORDER_BY_FIELDS,ARCHIVE_EXISTS
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_LEAD,SF_LEAD,S.ID,ID,LANDING,HISTORY,NA,611,Y,3,SREECHAKRADHAR,2019-06-01 00:00:00.000,2020-02-11 07:59:33.260,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,FULL LOAD,NA,,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_SERVICES__C,SF_SERVICES__C,S.ID,ID,LANDING,HISTORY, 'NA',0,N,0,SRIDHAVK,2019-01-29 00:00:00.000,2019-01-30 00:00:00.000,MANUAL,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,EV_THERAPEUTIC_AREA__X,EV_THERAPEUTIC_AREA__X,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,1,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:19:42.453,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,EV_PROJECT_TYPES_C__X,EV_PROJECT_TYPES_C__X,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,1,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:20:43.164,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,EV_OPPORTUNITY__X,EV_OPPORTUNITY__X,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,1,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:21:47.823,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,EV_INDICATION_C__X,EV_INDICATION_C__X,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,1,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:22:43.537,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_CONTACT,SF_CONTACT,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,1,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:23:41.008,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,EV_CONTACT__X,EV_CONTACT__X,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,1,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:24:39.579,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_ALLOCATION__C,SF_ALLOCATION__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,1,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:25:40.206,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_ALLOCATION__TAG,SF_ALLOCATION__TAG,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,1,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:26:45.369,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_ACCOUNT_TEAM_ASSIGNMENT__C,SF_ACCOUNT_TEAM_ASSIGNMENT__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,1,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:27:48.306,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_BUSINESS_SEGMENTS__C,SF_BUSINESS_SEGMENTS__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,1,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:28:58.928,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,EV_ACCOUNT__X,EV_ACCOUNT__X,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,1,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:29:52.209,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_ACCOUNT,SF_ACCOUNT,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,1,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:30:52.443,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_OPPORTUNITY_COMMISSION__C,SF_OPPORTUNITY_COMMISSION__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,2,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:19:39.835,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_OPPORTUNITY_INFO_BUDGET__C,SF_OPPORTUNITY_INFO_BUDGET__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,2,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:20:43.531,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_OPPORTUNITY,SF_OPPORTUNITY,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,2,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:21:54.443,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_CONTRACT_DETAILS__C,SF_CONTRACT_DETAILS__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,2,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:22:52.037,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_CONTRACT,SF_CONTRACT,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,2,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:23:48.837,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_OPPORTUNITYFIELDHISTORY,SF_OPPORTUNITYFIELDHISTORY,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,2,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:24:42.108,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_DEAL_SHEET__C,SF_DEAL_SHEET__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,2,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:25:54.140,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_DEAL_SHEET_DISCOUNTS__C,SF_DEAL_SHEET_DISCOUNTS__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,2,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:26:59.392,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_OPPORTUNITY_INFO__C,SF_OPPORTUNITY_INFO__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,2,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:28:07.087,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_OPPORTUNITY_SALES_TEAM_PPD__C,SF_OPPORTUNITY_SALES_TEAM_PPD__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,2,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:29:07.243,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_OPPORTUNITY_INFO_COMMISSION__C,SF_OPPORTUNITY_INFO_COMMISSION__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,2,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:29:56.146,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_USER,SF_USER,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,3,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:00:30.042,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_REPORT,SF_REPORT,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,3,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:01:54.760,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_REGION__C,SF_REGION__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,3,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:03:12.772,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_TIME_PERIOD__C,SF_TIME_PERIOD__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,3,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:05:07.640,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_RECORDTYPE,SF_RECORDTYPE,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,3,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:06:11.789,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_PPD_EMPLOYEES__C,SF_PPD_EMPLOYEES__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,3,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:07:32.126,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_MEDICAL_REFERENCE__C,SF_MEDICAL_REFERENCE__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,3,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:08:52.066,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_EXCHANGE_RATE__C,SF_EXCHANGE_RATE__C,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,3,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:10:14.168,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_CAMPAIGNMEMBER,SF_CAMPAIGNMEMBER,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,3,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:11:11.146,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,HST_ODS_SFDC_OWNER,SF_EVENT,SF_EVENT,S.ID,ID,LANDING,HISTORY, 'NA',611,Y,3,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 08:12:00.399,job_SFDC_LND_HST_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,ODS_SFDC_OWNER,SF_SERVICES__C,SF_SERVICES__C,S.ID,ID,LANDING,RAW, 'NA',0,N,0,SRIDHAVK,2019-01-29 00:00:00.000,2019-01-30 00:00:00.000,MANUAL,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,ODS_SFDC_OWNER,SF_OPPORTUNITY_INFO_BUDGET__C,SF_OPPORTUNITY_INFO_BUDGET__C,S.ID,ID,LANDING,RAW, 'NA',611,Y,2,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 07:47:14.684,job_SFDC_LND_RAW_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
EDW,SFDC,SFDC,ODS,LND_ODS_SFDC_OWNER,ODS_SFDC_OWNER,SF_OPPORTUNITY_COMMISSION__C,SF_OPPORTUNITY_COMMISSION__C,S.ID,ID,LANDING,RAW, 'NA',611,Y,2,SRIDHAVK,2019-01-29 00:00:00.000,2020-02-11 07:48:10.982,job_SFDC_LND_RAW_INCR_ON_NTRL_KEY_child,INCREMENTAL, 'NA',,,
